EnergyScenario,50.0,62.5,75.0,87.5,100.0,112.5,125.0,137.5,150.0,162.5,175.0,187.5,200.0,212.5,225.0,237.5,250.0,262.5,275.0,287.5,300.0
All_0.0,1122.2003362583869,1124.000336258387,1122.8003362583868,1124.000336258387,1123.4003362583871,1123.4003362583871,1121.600336258387,1122.9003362583867,1124.100336258387,1122.8003362583868,1124.000336258387,1122.2003362583869,1123.4003362583871,1122.8003362583868,1122.8003362583868,1122.8003362583868,1122.2003362583869,1124.600336258387,1124.000336258387,1122.8003362583868,1122.2003362583869
All_0.25,1468.6056968000148,1380.6320267331478,1298.0691147676503,1211.3313693481996,1127.1740912901448,1039.1946406837576,953.127950333925,867.0646231793725,782.8047474447217,699.7150888710878,614.7964189195475,527.7378395787475,434.9435648388387,350.3658904606572,258.9837051006434,169.37189372745252,78.02101087686464,-19.129694268986896,-108.18750140377495,-199.61170875512994,-290.53474840710845
All_0.5,1833.20241261839,1656.178573749364,1480.971247264432,1305.0247027733199,1127.7345929317273,951.0479494125664,772.6154929596792,600.7008118153649,411.7158725393009,227.72560990328748,40.116332747957244,-149.67188570473502,-338.95390518870084,-531.3132114465211,-722.4984278313539,-918.6558683067883,-1107.6586874362047,-1297.772567289985,-1489.268336871235,-1687.3759654848502,-1875.4918441505588
All_0.75,2222.8093844192667,1948.9917210857834,1674.0602296329373,1401.0660857781397,1125.7098792875177,852.0197946143892,577.7396477699068,297.93471220684086,0.22509996034693813,-295.5040023413071,-590.4547259521923,-886.6264774073645,-1181.3867368567223,-1481.8804280058198,-1777.9894313538098,-2071.769028624919,-2361.834721472016,-2652.0677423036254,-2939.970310433967,-3231.403294170439,-3520.3219589681316
All_1.0,2634.799392812337,2257.491861677946,1880.4827496727132,1505.7034314685543,1129.8059983400105,748.590967798182,365.0395806355196,-39.378320047179216,-445.820741041974,-851.082939708316,-1260.4354333729866,-1674.0096003482852,-2076.9619345454635,-2476.0908801137907,-2873.2011754011764,-3265.035547102566,-3676.900522298584,-3934.5123249043195,-4011.7129891303666,-4068.394482497623,-4123.223262029385
All_1.25,3073.797819498616,2588.8279153980866,2102.7581075099965,1617.5630566009286,1129.106010921129,644.7417589698214,126.26976387351903,-397.55973108075636,-922.7569860407534,-1460.1754118879912,-1974.9840081853295,-2491.662268660015,-3005.138726673212,-3511.4006280929234,-3884.3505756811737,-3981.136208544891,-4053.4092589952343,-4128.015476585074,-4199.868308726192,-4252.318147637685,-4303.02926827642
All_1.5,3537.6673135273268,2938.991515731316,2335.707515809665,1734.8948573018902,1131.2444569642353,518.1915367567547,-127.99713401316546,-775.7527509959957,-1440.1672146885016,-2082.612265708889,-2717.664959544162,-3337.37181689062,-3827.402714690567,-3947.7382082833224,-4039.870854000369,-4129.504430444917,-4210.171611606291,-4274.831670203661,-4338.154648562848,-4404.554230987635,-4471.205493416193
All_1.75,4035.118118555997,3310.778411879218,2586.5520771187516,1861.1788555316764,1135.1090336882257,382.9009029978849,-400.2736394415229,-1180.7360337557584,-1968.5715382739484,-2734.4602864267763,-3469.834203968605,-3854.607858588687,-3959.9561422647803,-4070.4685241316274,-4177.721699053304,-4254.837732296089,-4332.791199227139,-4412.19329699661,-4488.192207784487,-4570.5960140519965,-4640.176563450549
All_2.0,4560.981189338964,3703.7827103743566,2848.405162533265,1991.9824474264901,1131.8777612881208,245.97038666001583,-683.2176037784631,-1617.8395445526162,-2525.069964440087,-3383.022595634429,-3814.797868058238,-3940.6127513189153,-4071.2616353073226,-4187.561310864174,-4277.266665205494,-4371.146941724826,-4463.164803280147,-4557.530361268835,-4641.476563450548,-4708.050000000001,-4708.050000000001
