EnergyScenario,50.0,62.5,75.0,87.5,100.0,112.5,125.0,137.5,150.0,162.5,175.0,187.5,200.0,212.5,225.0,237.5,250.0,262.5,275.0,287.5,300.0
All_0.0,203.67831388751677,203.67831388751668,203.67831388751685,203.67831388751677,203.6783138875167,203.6783138875167,203.67831388751677,203.6783138875169,203.6783138875169,203.67831388751674,203.67831388751694,203.67831388751688,203.6783138875165,203.6783138875165,203.67831388751674,203.67831388751665,203.67831388751654,203.67831388751668,203.67831388751682,203.67831388751674,203.67831388751654
All_0.25,206.4517415816618,205.73780333568786,205.0322896423164,204.34090597945755,203.64598478173724,202.96929762634636,202.2627283198365,201.5509194229195,200.85396957090515,200.1901457760212,199.5365357343474,198.8819018882263,198.24255609729877,197.6293033970529,197.02735200947959,196.4281026431306,195.81382862769289,195.20083696683741,194.5938331300632,194.0019457219234,193.40995246010536
All_0.5,209.44259907399453,207.9579878558854,206.51058742176963,205.04904306621395,203.6102789134895,202.1744912013562,200.72489657825832,199.35988414248393,198.0590746872233,196.82457772923723,195.57088772370844,194.35231371464636,193.12905324887106,191.83603916229092,190.56834062778674,189.33420515568986,188.3261930237898,187.46400031177365,186.91314275419904,186.15358270621684,185.4343365874924
All_0.75,212.68579699913244,210.36419768459797,208.04898982977357,205.80501074468893,203.57631983082592,201.31302527105387,199.1805663628147,197.23886942105165,195.3442778594792,193.4759688182158,191.4792260539846,189.58240203728639,188.1184874469468,187.10639518472777,185.93121619164833,184.67958655508104,183.08699652684726,181.92651544448145,180.96533053600058,178.88283468562256,176.5303117334632
All_1.0,216.11132636752717,212.94158651056895,209.73257696664493,206.61030270744658,203.53022876405657,200.4302230812467,197.69491665542904,195.11981221677607,192.46986850772765,189.8473062825393,187.91920832410892,186.47284100481227,184.70979141121055,182.77777364493542,181.79518406012988,178.50587146500024,175.14255742242347,164.11878454392982,159.67432013334883,155.7877985861293,151.815755451892
All_1.25,219.415162957235,215.67380479219162,211.5531037623994,207.46362189454646,203.48462041956972,199.5351800732264,196.20087304043633,192.818665866268,189.55507736835375,187.47797646488794,185.32970052583823,183.10703378534248,180.87477836463037,176.41295253237695,164.7364798480114,159.41590962456667,154.46478677509413,149.65984343883284,144.76548500575458,140.6672482420742,136.88908342919075
All_1.5,222.64128691857786,218.35722253111874,213.52396677333982,208.37562534744706,203.4365314161211,198.715018409556,194.6272094149431,190.42630816447166,187.67359458209702,184.9250240320532,183.67009268505663,177.80057367200922,165.60746973589522,159.05401998333033,153.21934858448466,147.5363057031888,142.03524346112087,137.45765042149702,133.23488166798546,129.42814791715122,126.18129471465777
All_1.75,226.05311183873613,221.03396774295868,215.59288591308845,209.4045628917166,203.39525503354244,197.87789001741038,192.87107230301262,188.7799428744395,185.69262161726868,183.30773926292778,176.656150691275,161.66911680304824,155.8709797041594,149.30726025680946,142.6222721581564,137.2750612182289,132.4804884924896,128.1460776736579,124.6277522909562,121.52732709064699,115.96539207182984
All_2.0,229.68365995153908,223.76143416249124,217.56035200539307,210.50528018297166,203.39475621087863,196.96687235194,191.0924935716205,187.42479469628742,184.57639851162762,177.36352478977213,161.19096179180426,154.75109193929393,147.41811178377276,140.0019961694273,134.3491057410742,129.30941475440153,124.97987984042986,121.60992805679079,115.39741010970967,109.1556648828747,105.28874564498796
