Category,Sector,Region,2020,Unit,2025,2030,2035,2040,2045,2050
1.5°C+2°C,Coal,R5ASIA,22.4145,EJ,20.85193944997049,15.894930313434966,4.417691865814696,0.9017538307330076,0.4290999999999999,0.2036173001350195
1.5°C+2°C,Coal,R5LAM,0.37023251078,EJ,0.1949,0.0912841111421585,0.0023,0.0009,0.0007,0.0005
1.5°C+2°C,Coal,R5MAF,0.9496,EJ,0.7496,0.5129,0.1493,0.028014346286192,0.0423,0.0283
1.5°C+2°C,Coal,R5OECD90+EU,9.468,EJ,5.609100000000001,2.683177328571289,1.099342823028564,0.6036885752006549,0.209021135666343,0.0911636669531824
1.5°C+2°C,Coal,R5REF,1.233980438902686,EJ,1.019,0.6293,0.0698289760077862,0.0609,0.0220954623098257,0.0045
1.5°C+2°C,Oil,R5ASIA,0.4693207107807798,EJ,0.3074,0.1446,0.037,0.0196,0.008544235812286,0.0008544294741082
1.5°C+2°C,Oil,R5LAM,0.3346,EJ,0.2107,0.0747,0.0338617141570808,0.0173317977944749,0.011453333244679,0.0057527583877606
1.5°C+2°C,Oil,R5MAF,1.0800157632271272,EJ,0.3329,0.1846442248895975,0.139849107385862,0.0952907637297784,0.062164891427098,0.0324941637985849
1.5°C+2°C,Oil,R5OECD90+EU,0.6040159792113029,EJ,0.4362,0.1211999999999999,0.0316019026383,0.0163065459999999,0.0110008682229821,0.0057074118174593
1.5°C+2°C,Oil,R5REF,0.055613902,EJ,0.06104072021875,0.0349273874642028,0.0220043380112394,0.0,0.0,0.0
1.5°C+2°C,Gas,R5ASIA,4.3064,EJ,6.6906,8.740724299418458,9.4785,7.970206737518311,6.252998223579353,5.1808
1.5°C+2°C,Gas,R5LAM,1.44989243919983,EJ,1.4272555994313938,1.2249,0.7127,0.509378741714843,0.3997329175472259,0.3089
1.5°C+2°C,Gas,R5MAF,4.791000149464577,EJ,5.572081363428572,5.938675381873516,5.626999855041504,4.6962,3.8191,3.5147000000000004
1.5°C+2°C,Gas,R5OECD90+EU,9.899647072566042,EJ,10.64485320312873,9.6318,7.420911312103271,5.399040699005127,4.061162975281075,3.3817522058758427
1.5°C+2°C,Gas,R5REF,2.342043953,EJ,2.4047,2.5358,2.2239999568687394,1.40094264646016,0.9479621457843596,0.746227502822876
1.5°C+2°C,Nuclear,R5ASIA,2.09131646156311,EJ,2.658653736114502,3.6143,4.913563472058528,5.902299999999999,7.1964,8.86108621642565
1.5°C+2°C,Nuclear,R5LAM,0.1242,EJ,0.1397406128125,0.1577,0.1731326406307199,0.160530596,0.1600464728607362,0.163212675237741
1.5°C+2°C,Nuclear,R5MAF,0.0907999999999999,EJ,0.1437,0.188857582461332,0.220592722200328,0.2607,0.2843,0.3292120709457189
1.5°C+2°C,Nuclear,R5OECD90+EU,6.526191129463523,EJ,6.787174976000001,6.936180591583252,6.916625022888184,6.402800285092856,5.848645659709038,6.08111997224546
1.5°C+2°C,Nuclear,R5REF,1.033936431216854,EJ,1.046457451890233,1.130113244,1.241346766880097,1.49120928129679,1.495914933268958,1.4797574016261117
