Model_Scenario,Category,Demand_GrowthRate,Demand_Growth,Renewables_GrowthRate,Renewables_Growth,TFC_GrowthRate,TFC_Growth,shares_2024_2050
MESSAGEix-GLOBIOM_1.1_EN_NPi2020_500,C1,3.7313146424165833,39902.71845370298,5.514279450114956,47922.8067752439,3.1195165776577216,30365.893635348213,1.2009910259835104
MESSAGEix-GLOBIOM_1.1_EN_NPi2020_500f,C2,3.0760427841343807,30127.453851636685,5.502068864921861,38468.42578910037,2.8517671517507948,27084.447289244,1.2768561850111526
MESSAGEix-GLOBIOM_1.1_EN_NPi2020_600,C2,3.6682893430261654,39040.92068123109,5.759898348280257,46904.10583590704,3.1119637603416628,30478.965159065247,1.2014088043383715
MESSAGEix-GLOBIOM_1.1_EN_NPi2020_600_COV,C1,3.7523429404628272,35722.26924639491,5.852968867331798,41870.47658893194,3.295981327737696,29356.77318683079,1.1721113320133631
MESSAGEix-GLOBIOM_1.1_EN_NPi2020_600_DR10p,C2,3.4455192522490297,35247.509949708554,6.667952019611323,55352.83579765959,2.934172679689806,27872.350060373934,1.5704041470344283
MESSAGEix-GLOBIOM_1.1_EN_NPi2020_600_DR1p,C1,3.7349918017661743,40888.13498923871,5.087022485108772,42377.29451292218,3.195349639465994,32184.48567321005,1.036420333773487
MESSAGEix-GLOBIOM_1.1_EN_NPi2020_600_DR2p,C1,3.7586713645665126,40596.36183656899,5.256221591900623,43453.025547093814,3.206279295417147,31836.567431988467,1.070367480761578
MESSAGEix-GLOBIOM_1.1_EN_NPi2020_600_DR3p,C1,3.7446264074935787,40212.46242156037,5.382747293502188,44448.238913080626,3.1843933183946183,31440.545627910757,1.1053349194862834
MESSAGEix-GLOBIOM_1.1_EN_NPi2020_600_DR4p,C1,3.698070479083637,39460.51002594184,5.517019966076253,45404.749360033304,3.1448293727821763,30893.636725071523,1.1506376711852848
MESSAGEix-GLOBIOM_1.1_EN_NPi2020_600f,C2,2.9910719519861573,28953.72647224069,5.401935629185561,36212.18194777969,2.8072043744074238,26498.124186011395,1.250691581358207
MESSAGEix-GLOBIOM_1.1_EN_NPi2020_600f_COV,C2,3.1673155510008266,27569.456169988924,5.490817828929129,31746.198759736184,3.021226900159024,25774.10260038155,1.1514989111135934
MESSAGEix-GLOBIOM_1.1_EN_NPi2020_600f_DR10p,C2,2.748876353410612,25482.821066679964,6.685480519446951,39734.94546484518,2.5827939176049863,23408.221581832207,1.5592836193791968
MESSAGEix-GLOBIOM_1.1_EN_NPi2020_600f_DR1p,C2,3.3857839385607935,34892.52934559126,4.8898919098017135,37373.043102082374,3.1096069850381935,30799.89090610299,1.0710901102044794
MESSAGEix-GLOBIOM_1.1_EN_NPi2020_600f_DR2p,C2,3.200246063507195,31958.928813230872,4.983313252157084,36197.51534361248,2.9650070211627577,28656.568514515962,1.1326260512407054
MESSAGEix-GLOBIOM_1.1_EN_NPi2020_600f_DR3p,C2,3.1076773960882376,30593.59682208216,5.092231819575899,35787.26348779796,2.9022229584626302,27775.94000962341,1.1697631924719312
MESSAGEix-GLOBIOM_1.1_EN_NPi2020_600f_DR4p,C2,3.0224781285479674,29485.92408112903,5.183023298528866,35711.76157995837,2.8407823038289592,27031.638308895104,1.2111460872550328
MESSAGEix-GLOBIOM_1.1_EN_NPi2020_700,C2,3.2998963212400367,33258.8832008951,5.666324666101996,41615.4450008265,2.9754082096125734,28650.51094369513,1.2512580398281834
MESSAGEix-GLOBIOM_1.1_EN_NPi2020_700_COV,C2,3.3428549212964676,29935.19273496051,5.709291012865392,36633.27504264012,3.144496458485979,27384.74700103291,1.223752770425864
MESSAGEix-GLOBIOM_1.1_EN_NPi2020_700f,C2,2.899226901733787,27733.42870330343,5.329299691521516,33795.82540158899,2.7521317105032805,25802.354672935024,1.2185952830838924
MESSAGEix-GLOBIOM_1.1_EN_NPi2020_700f_COV,C2,3.0620882110031333,26261.111987889526,5.387929811411252,30101.646454132257,2.933912255140614,24722.79204461068,1.1462441677265538
MESSAGEix-GLOBIOM_1.1_EN_NPi2020_800,C3,3.0169374495420564,29306.78796938807,5.458517448779299,37988.95603659962,2.856798543344885,27148.531894864846,1.296251096376729
MESSAGEix-GLOBIOM_1.1_EN_NPi2020_800_COV,C3,3.1575066326870793,27475.22041792839,5.571089614514069,33223.93688721425,3.0393292087991908,26019.945808859815,1.2092327698137284
MESSAGEix-GLOBIOM_1.1_EN_NPi2020_800f,C3,2.8133335447335206,26544.251254210507,5.195712307776068,31652.3652240061,2.6862169033063044,24909.279271257434,1.192437674013703
MESSAGEix-GLOBIOM_1.1_EN_NPi2020_800f_COV,C3,2.9747827207213584,25242.80902961508,5.406205382112006,28977.81900194368,2.863629076579821,23932.27652665247,1.147963325632526
MESSAGEix-GLOBIOM_1.1_EN_NPi2020_900,C3,2.8833742818509256,27535.59044045406,5.385149477111284,35060.51584809169,2.7582965742787513,25894.708028232995,1.2732799728377113
MESSAGEix-GLOBIOM_1.1_EN_NPi2020_900_COV,C3,3.07404255207957,26392.555910118892,5.520120214280655,31295.61524665823,2.9761305931460313,25210.370800181794,1.18577432792932
MESSAGEix-GLOBIOM_1.1_EN_NPi2020_900f,C3,2.7358485718621095,25540.93532701758,5.141078510234309,29639.868011176794,2.632297960495955,24230.250208312023,1.1604848307893916
MESSAGEix-GLOBIOM_1.1_EN_NPi2020_900f_COV,C3,2.875649897549226,24110.70399861019,5.145943656039176,25993.356504767413,2.782658239550395,23036.337575356836,1.0780836804377734
MESSAGEix-GLOBIOM_1.1_NGFS2_Below 2°C,C3,2.9450649172658494,24888.474445591866,5.3346949055600446,28784.870727394202,2.87110600415712,24018.861572995203,1.1565542432229086
MESSAGEix-GLOBIOM_1.1_NGFS2_Delayed Transition,C3,3.262821504837987,28951.645679789875,7.8457275576182095,45456.2866500906,2.8491610381858212,23882.778064963208,1.5700760900725597
MESSAGEix-GLOBIOM_1.1_NGFS2_Divergent Net Zero Policies,C1,3.741607143576209,35972.24639608053,5.917544133635899,43368.886999032366,3.1934952218860557,28318.388379847205,1.205620758890325
MESSAGEix-GLOBIOM_1.1_NGFS2_Net-Zero 2050,C1,3.6562096213031747,34341.174143915196,5.6119895050463775,41004.317811962756,3.293169377529015,29305.200807415196,1.1940278349285323
