Sector,Region,Unit,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Nuclear,Asia,GWh,694038.0515972415,724979.0997661668,777097.475218785,829215.8506714031,881334.2261240213,933452.6015766397,985570.9770292579,1056429.3102929685,1127287.6435566794,1198145.9768203902,1269004.310084101,1339862.643347812,1393785.672751447,1447708.702155082,1501631.731558717,1555554.7609623524,1609477.7903659875,1680054.5217592618,1750631.2531525367,1821207.9845458113,1891784.7159390862,1962361.4473323605,2053148.9536693979,2143936.460006435,2234723.966343472,2325511.4726805086,2416298.979017546
Nuclear,Latin America,GWh,33788.05233727145,34556.66460233558,35444.90533208627,36333.14606183696,37221.38679158766,38109.62752133835,38997.86825108905,39761.140395772905,40524.41254045675,41287.68468514061,42050.956829824456,42814.22897450831,42190.95329130837,41567.67760810841,40944.401924908474,40321.126241708516,39697.85055850857,39673.90665184743,39649.962745186276,39626.01883852514,39602.074931863994,39578.13102520285,39734.72600700972,39891.320988816595,40047.915970623464,40204.51095243033,40361.105934237195
Nuclear,Mideast+Africa,GWh,45943.916700138536,49595.40887777877,52712.470486827864,55829.532095876944,58946.59370492604,62063.65531397513,65180.71692302422,67371.27674369082,69561.83656435742,71752.39638502403,73942.95620569061,76133.51602635722,78901.97370408775,81670.4313818183,84438.88905954883,87207.34673727938,89975.80441500992,91604.8254999307,93233.84658485146,94862.86766977224,96491.88875469302,98120.9098396138,101221.02469292034,104321.13954622686,107421.25439953337,110521.36925283988,113621.48410614642
Nuclear,OECD+EU,GWh,1601203.229439192,1613612.7180843195,1620697.7676733257,1627782.8172623324,1634867.8668513387,1641952.9164403449,1649037.9660293516,1648108.120711754,1647178.2753941568,1646248.4300765598,1645318.5847589625,1644388.7394413652,1619956.9505246305,1595525.1616078957,1571093.372691161,1546661.5837744263,1522229.7948576915,1495880.3651032941,1469530.9353488965,1443181.5055944992,1416832.0758401018,1390482.6460857044,1401536.5384242148,1412590.4307627252,1423644.3231012358,1434698.2154397462,1445752.1077782563
Nuclear,E. Europe+Russia,GWh,261202.7389297872,261829.30432457183,266015.53049387404,270201.75666317635,274387.9828324786,278574.2090017809,282760.43517108314,288326.68076676596,293892.92636244866,299459.1719581315,305025.41755381424,310591.663149497,323095.0531742591,335598.4431990211,348101.83322378306,360605.223248545,373108.6132733071,373344.0891791914,373579.56508507574,373815.0409909601,374050.51689684443,374285.9928027287,373477.45247230114,372668.91214187356,371860.3718114459,371051.83148101834,370243.2911505908
