Dem_scenarios,Ren_scenarios,Region,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
All_1.0,50.0,Mideast+Africa,245722.47244602663,257403.33501980736,271897.38225045084,285269.5754857812,297753.0232495163,309523.65541133896,320716.78623889334,353255.0578130384,382581.51222430484,409373.7137581124,434136.6903945015,457254.64350166067,498534.58851107844,536848.2925759836,572708.9562702186,606523.4471043887,638618.5618832826,684601.5927611578,728334.8474205331,770141.2489922007,810289.9343741937,849007.0764099744,914688.6661140857,977853.512716225,1038815.3837878025,1097843.917608001,1155172.1979076136
All_1.0,50.0,OECD+EU,3484255.9983094623,3506930.944590551,3494316.0507103093,3489776.2913321373,3491810.6335790213,3499288.3029306177,3511341.5541038946,3488709.229344556,3475612.304216778,3470187.599494094,3471048.15703791,3477140.5355851618,3493151.0572798303,3512829.590720244,3535649.249927885,3561193.596065901,3589129.3741053673,3613001.8942950363,3639206.66467152,3667500.1249762205,3697680.3312416044,3729578.594838901,3767834.645627333,3807351.762894882,3848048.7331727473,3889856.6153198946,3932716.644243581
All_1.0,50.0,E. Europe+Russia,277853.67023821763,277869.13841173745,281816.704646347,285854.0269525506,289972.3052920727,294165.01363060623,298427.2425780291,309463.68516950886,319781.5197538373,329539.8802818462,338857.46878618473,347824.6740154291,357822.5299873121,367448.1644335081,376773.716897466,385856.47176113416,394742.5282899677,404622.5340816546,414295.8594081947,423799.3801505258,433163.91303585167,442415.43577490555,455945.97981049557,469183.5680671427,482171.0091370177,494945.161178283,507537.95414822147
All_1.25,50.0,Asia,4110455.5378154577,4237180.059460869,4413451.677533079,4581061.726421794,4741988.804817727,4897729.133862719,5049436.335503425,5210515.871007996,5365516.123624161,5515978.2886227565,5663055.125958504,5807627.436073747,5923573.265018773,6040102.090052405,6157359.706519884,6275465.373520884,6394518.422341415,6501904.859888251,6611116.794437297,6722115.791433203,6834873.009600842,6949367.318134899,7010154.994485165,7075055.96740405,7143765.564307942,7216024.745749003,7291612.3129050145
All_1.25,50.0,Latin America,995978.1151765023,999063.0646147248,983486.6317602767,971812.1981745703,963301.6717377818,957398.9432764619,953677.1834790505,949628.9250226513,948267.314091239,949078.9467068497,951681.8993495154,955786.3341347106,960480.4217774319,966443.548614081,973498.0653836845,981503.7227196838,990348.4424421071,1001689.0901031141,1013617.0201681503,1026083.0924792135,1039046.841522278,1052474.7381610156,1081451.7551675763,1110198.9473387946,1138776.307836847,1167235.8510427545,1195622.989260587
All_1.25,50.0,Mideast+Africa,245722.47244602663,258403.61883098492,274001.3414677237,288566.5084977537,302321.98802185355,315436.14053906535,328038.611044208,362626.53144661576,394135.83995484054,423229.6521271891,450402.49626605667,476030.84428205603,520786.783044512,562716.217989389,602325.162310893,640015.1172255423,676108.8904079953,727164.669578596,776128.0792051085,823319.1313153594,869004.9075221617,913410.2155990399,987165.0578124392,1058623.8788685612,1128099.6797642133,1195861.9301180972,1262144.049054517
All_1.25,50.0,OECD+EU,3484255.9983094623,3520559.0751294256,3521355.290301754,3530108.523185812,3545391.818422695,3566131.30406153,3591503.955306119,3581260.90223617,3580579.121336938,3587641.9056495083,3601097.9702474154,3619922.002685914,3649068.5776537107,3682094.56762225,3718486.475584984,3757839.449950716,3799830.483318505,3837629.5884086266,3878010.901833321,3920739.2422438255,3965620.474822802,4012493.2795734974,4066383.2881848584,4121837.7180616716,4178781.5345791886,4237151.898618121,4296896.097517282
All_1.25,50.0,E. Europe+Russia,277853.67023821763,278948.95348389936,283997.42021048575,289157.7146187178,294421.87639423634,299784.1197563627,305240.2067914517,317673.42117179045,329439.2276235221,340693.70896669466,351553.44663683366,362107.3631220418,373794.01266718656,385153.5792449251,396257.62387705425,407163.1132900509,417916.02801509993,429778.7419875168,441481.89630621107,453062.5232372825,464551.6996090756,475975.7483815857,492073.37555753486,507937.9705340081,523612.73185589106,539134.9956548327,554537.2453196052
All_1.5,50.0,Asia,4110455.5378154577,4253582.239266622,4447424.789990657,4633660.425885811,4814186.875732401,4990442.574418259,5163539.82380257,5347182.667338534,5525551.709121728,5700166.162125849,5872165.962460069,6042425.576086775,6183644.462387575,6326114.163471245,6469991.527786639,6615407.563243277,6762473.937599479,6897816.295476955,7035675.097062542,7176026.721612188,7318857.250253508,7464160.616543136,7552222.239169119,7644998.818926366,7742202.197059033,7843589.504001863,7948955.468197625
All_1.5,50.0,Latin America,995978.1151765023,1002930.4508936038,991057.146718309,982970.3228190017,977968.2020209592,975522.3934692645,975227.6865681076,974536.7740914521,976550.9891976503,980770.3029511356,986823.1779756338,994428.0782849548,1002649.7817507582,1012206.7690133865,1022926.1461986314,1034671.815420801,1047335.4033601707,1062683.548530653,1078710.3372241647,1095369.3626654143,1112622.7947097505,1130439.6689447672,1165076.093522932,1199632.862309719,1234172.1397666456,1268748.2641085836,1303409.1076901085
