Dem_scenarios,Region,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
All_2.0,E. Europe+Russia,1507440.1985133437,1530412.2232718095,1542058.8275559752,1554750.0037703866,1568437.8564164094,1583081.1571638158,1598644.4312765244,1622750.1752835298,1647573.321621189,1673112.0857422145,1699366.0643774406,1726336.106671569,1754522.8776093554,1783534.256300404,1813365.1829404882,1844012.822821366,1875476.2993578378,1911996.2387162913,1949282.7813247861,1987348.4786837548,2026206.4109870042,2065870.1631415503,2101628.7877761,2138328.8710020813,2175970.67512794,2214556.457416037,2254090.2453753445
All_2.25,Asia,14021785.64034378,14460778.064549526,14880148.584236985,15305151.744343676,15736237.758855307,16173831.33978841,16618336.00338084,16970266.01194749,17330719.62374855,17699846.41917523,18077803.011159077,18464752.799342334,18885508.74277616,19315526.108131632,19755030.33957982,20204250.124352083,20663417.710042015,21077658.321432944,21502954.040681645,21939419.29705299,22387184.401533958,22846394.252317913,23254454.735135805,23675761.749159005,24110278.17306051,24558001.726276856,25018961.020399507
All_2.25,Latin America,1583568.1885069385,1632992.8024362617,1681551.7694907405,1730725.2333165817,1780567.6830232125,1831130.3546391313,1882461.7713550495,1940387.7923618904,1999188.4905000844,2058913.4374963716,2119610.7230532956,2181327.207707761,2250398.5526196533,2320248.388364865,2390958.601223607,2462606.0180392773,2535263.214173247,2624668.0716810175,2714976.9965031,2806296.0828503263,2898725.315954977,2992359.489270491,3079971.758342427,3168777.269751108,3258867.019369177,3350327.222441317,3443240.111779124
All_2.25,Mideast+Africa,2136131.1554832133,2218507.569263435,2282357.739836671,2347080.804264612,2412744.3509478387,2479412.207446555,2547145.079205394,2647645.423321124,2749218.0191929303,2851969.9050491564,2956003.3228828167,3061416.4044049056,3198533.2064316077,3336087.8091840725,3474309.771682749,3613410.260534246,3753584.7823630758,3966443.802009834,4179697.6561852125,4393695.477312059,4608760.542563309,4825193.876754897,5066640.9803433595,5308423.799557834,5550970.116516147,5794672.608455721,6039893.991437337
All_2.25,OECD+EU,9533311.222630475,9583395.054728813,9698322.754266841,9819910.418569095,9947961.376362314,10082312.70104524,10222830.742365874,10424069.891263718,10630629.082079016,10842572.776247457,11059971.685562901,11282902.383904925,11449771.221104138,11623769.830247482,11804778.512755806,11992704.91157301,12187480.615009185,12352652.056583608,12525271.889975486,12705218.74699803,12892397.15760041,13086734.578763407,13339871.430782517,13600288.55556381,13868019.10321298,14143110.877006846,14425624.818246167
All_2.25,E. Europe+Russia,1507440.1985133437,1534163.2336229659,1549627.2030732837,1566210.0315559015,1583871.3230823183,1602576.9954277533,1622298.4330027327,1650797.031075145,1680157.1728231006,1710382.8791131936,1741479.5963076565,1773454.0812325506,1806827.843384242,1841205.8206298451,1876589.5853384638,1912982.9993198966,1950391.9642919041,1993244.1456043124,2037095.807905779,2081966.7058409688,2127877.3093779385,2174848.786282069,2217916.525910919,2262178.3036698597,2307642.4332910893,2354319.390291783,2402221.5986610195
All_2.5,Asia,14021785.64034378,14496134.49013522,14953001.100006798,15417689.175770145,15890702.739299865,16372524.672176026,16863620.79792732,17262849.765975684,17672621.901562575,18093160.529450435,18524698.00947404,18967475.58259202,19447119.05748101,19938554.742451116,20442094.093218863,20958054.579982273,21486760.073913474,21971094.307465073,22469220.361581188,22981350.89047152,23507716.837600265,24048566.28585706,24537947.470197853,25043589.782740433,25565564.711292632,26103980.921375472,26658980.5012922
All_2.5,Latin America,1583568.1885069385,1636985.4498749808,1689784.568787809,1743451.1033710495,1798045.5170870514,1853625.5435993574,1910246.6981211521,1973841.9494246037,2038628.6934184283,2104665.230343865,2172008.8728684345,2240716.1904336046,2317320.0772956293,2395088.761678661,2474114.18049199,2554483.8842028086,2636281.818021115,2735922.029348832,2836978.4121585824,2939570.738374193,3043813.4914716603,3149816.760320232,3249965.913056187,3351848.143147405,3455570.9009724883,3561237.549771604,3668948.1600112054
All_2.5,Mideast+Africa,2136131.1554832133,2223931.7931491644,2293532.0572362933,2364338.68249244,2436427.553673799,2509871.4513641144,2584740.657806396,2693293.3840982546,2803454.884330451,2915344.4665663033,3029077.6394456923,3144766.763450249,3293650.010809201,3443694.4164330894,3595143.416177568,3748223.715012696,3903147.9093863866,4134572.707756739,4367518.411839235,4602357.797298188,4839440.094997375,5079094.473539466,5346286.190842009,5615109.217501101,5886024.404430623,6159459.751763678,6435815.460774427
All_2.5,OECD+EU,9533311.222630475,9606826.338481205,9745805.29164852,9892115.354123048,10045609.345528156,10206172.550122337,10373718.58924865,10603790.910303192,10840351.26192308,11083509.152958836,11333381.348492194,11590091.554061227,11790260.307544155,11998698.341251612,12215339.028049044,12440143.16549295,12673095.78477477,12876254.047942545,13088113.08679411,13308606.130891496,13537692.650532095,13775355.555324858,14076144.470210167,14386022.765435964,14705087.069330513,15033450.221939387,15371239.854245573
All_2.5,E. Europe+Russia,1507440.1985133437,1537914.2439741225,1557214.1058256405,1577726.2358359937,1599418.4097936214,1622264.4372552156,1646243.377776457,1679258.3641002437,1713303.492014983,1748389.859761317,1784530.0997774117,1821738.2787721192,1860558.6254119514,1900594.5186909963,1941855.8320806592,1984354.8690778392,2028106.1330170317,2077733.4195774032,2128635.6525197336,2180842.0159797654,2234382.6877391455,2289288.831357436,2340330.909752807,2392871.919085601,2446930.787582003,2502528.8755983124,2559689.7771362565
All_2.75,Asia,14021785.64034378,14531490.91572092,15026031.52179803,15530776.911390882,16046302.095841609,16573165.96094331,17111915.179823663,17559746.707860857,18020411.636514924,18494224.399879295,18981511.32489388,19482610.601329323,20024000.843023382,20580087.744149387,21151291.7230389,21738043.044149175,22340782.317020226,22900085.081212282,23476393.282688085,24070044.42227823,24681397.920589376,25310834.157430004,25888892.123379603,26486817.548923165,27104821.648598313,27743156.533349287,28402111.699029397
